PROCEDIMENTO;RN_alteracao;VIGENCIA;Seg. Odontológica;Seg. Ambulatorial;HCO;HSO;REF;PAC;DUT;SUBGRUPO;GRUPO;CAPITULO
OSTEOPLASTIAS DE MANDIBULAMAXILA;;;;;HCO;HSO;REF;;;CIRURGIA REPARADORA E FUNCIONAL DA FACE;CABECA E PESCOCO;PROCEDIMENTOS CIRURGICOS E INVASIVOS
OSTEOPLASTIAS DO ARCO ZIGOMATICO;;;;;HCO;HSO;REF;;;CIRURGIA REPARADORA E FUNCIONAL DA FACE;CABECA E PESCOCO;PROCEDIMENTOS CIRURGICOS E INVASIVOS
OSTEOPLASTIAS ETMOIDO ORBITAIS;;;;;HCO;HSO;REF;;;CIRURGIA REPARADORA E FUNCIONAL DA FACE;CABECA E PESCOCO;PROCEDIMENTOS CIRURGICOS E INVASIVOS
OSTEOTOMIA CRANIO-MAXILARES;;;;;HCO;HSO;REF;;;CIRURGIA REPARADORA E FUNCIONAL DA FACE;CABECA E PESCOCO;PROCEDIMENTOS CIRURGICOS E INVASIVOS
OSTEOTOMIA E OSTEOPLASTIA DE MANDIBULA PARA LATEROGNATISMO;;;;;HCO;HSO;REF;;;CIRURGIA REPARADORA E FUNCIONAL DA FACE;CABECA E PESCOCO;PROCEDIMENTOS CIRURGICOS E INVASIVOS
OSTEOTOMIAS ALVEOLO PALATINAS;;;;;HCO;HSO;REF;;;CIRURGIA REPARADORA E FUNCIONAL DA FACE;CABECA E PESCOCO;PROCEDIMENTOS CIRURGICOS E INVASIVOS
OSTEOTOMIAS DOS MAXILARES OU MALARES;;;;;HCO;HSO;REF;;;CIRURGIA REPARADORA E FUNCIONAL DA FACE;CABECA E PESCOCO;PROCEDIMENTOS CIRURGICOS E INVASIVOS
OSTEOTOMIA DA MANDIBULA EOU MAXILA COM APLICACAO DE OSTEODISTRATOR COM DIRETRIZ DE UTILIZACAO;;;;;HCO;HSO;REF;;144;CIRURGIA REPARADORA E FUNCIONAL DA FACE;CABECA E PESCOCO;PROCEDIMENTOS CIRURGICOS E INVASIVOS
RECONSTRUCAO DE MANDIBULAMAXILA COM PROTESE E OU ENXERTO OSSEO;;;;;HCO;HSO;REF;;;CIRURGIA REPARADORA E FUNCIONAL DA FACE;CABECA E PESCOCO;PROCEDIMENTOS CIRURGICOS E INVASIVOS
REDUCAO SIMPLES DA LUXACAO DA ARTICULACAO TEMPORO-MANDIBULAR COM FIXACAO INTERMAXILAR;;;;;HCO;HSO;REF;;;CIRURGIA REPARADORA E FUNCIONAL DA FACE;CABECA E PESCOCO;PROCEDIMENTOS CIRURGICOS E INVASIVOS
RETIRADA DE CORPO ESTRANHO DA REGIAO BUCO-MAXILO-FACIAL;;;;;HCO;HSO;REF;;;CIRURGIA REPARADORA E FUNCIONAL DA FACE;CABECA E PESCOCO;PROCEDIMENTOS CIRURGICOS E INVASIVOS
SUTURA DE FERIDA EM REGIAO BUCO-MAXILO-FACIAL COM DIRETRIZ DE UTILIZACAO;;;OD;AMB;HCO;HSO;REF;;97;CIRURGIA REPARADORA E FUNCIONAL DA FACE;CABECA E PESCOCO;PROCEDIMENTOS CIRURGICOS E INVASIVOS
TRATAMENTO CIRURGICO DE ANQUILOSE DA ARTICULACAO TEMPORO MANDIBULAR;;;;;HCO;HSO;REF;;;CIRURGIA REPARADORA E FUNCIONAL DA FACE;CABECA E PESCOCO;PROCEDIMENTOS CIRURGICOS E INVASIVOS
TRATAMENTO CIRURGICO DE CISTOS;;;;;HCO;HSO;REF;;;CIRURGIA REPARADORA E FUNCIONAL DA FACE;CABECA E PESCOCO;PROCEDIMENTOS CIRURGICOS E INVASIVOS
TRATAMENTO CIRURGICO DE FISTULA BUCO-MAXILO-FACIAL E BUCO NASAL;;;;;HCO;HSO;REF;;;CIRURGIA REPARADORA E FUNCIONAL DA FACE;CABECA E PESCOCO;PROCEDIMENTOS CIRURGICOS E INVASIVOS
TRATAMENTO CIRURGICO DE LUXACAO DA ATM;;;;;HCO;HSO;REF;;;CIRURGIA REPARADORA E FUNCIONAL DA FACE;CABECA E PESCOCO;PROCEDIMENTOS CIRURGICOS E INVASIVOS
TRATAMENTO CIRURGICO DE TUMORES E EXOSTOSES;;;;;HCO;HSO;REF;;;CIRURGIA REPARADORA E FUNCIONAL DA FACE;CABECA E PESCOCO;PROCEDIMENTOS CIRURGICOS E INVASIVOS
TRATAMENTO CIRURGICO OU ARTROPLASTIA PARA LUXACAO DA ARTICULACAO TEMPORO-MANDIBULAR;;;;;HCO;HSO;REF;;;CIRURGIA REPARADORA E FUNCIONAL DA FACE;CABECA E PESCOCO;PROCEDIMENTOS CIRURGICOS E INVASIVOS
TRATAMENTO CIRURGICO OU ARTROPLASTIA PARA LUXACAO DA ARTICULACAO TEMPORO-MANDIBULAR POR ARTROSCOPIA;;;;;HCO;HSO;REF;;;CIRURGIA REPARADORA E FUNCIONAL DA FACE;CABECA E PESCOCO;PROCEDIMENTOS CIRURGICOS E INVASIVOS
CORRECAO DE TUMORES, CICATRIZES OU FERIMENTOS COM O AUXILIO DE EXPANSORES DE TECIDOS;;;;;HCO;HSO;REF;;;FACE;CABECA E PESCOCO;PROCEDIMENTOS CIRURGICOS E INVASIVOS
EXERESE DE CISTO;;;;AMB;HCO;HSO;REF;;;FACE;CABECA E PESCOCO;PROCEDIMENTOS CIRURGICOS E INVASIVOS
EXERESE DE TUMOR OU FISTULA;;;;;HCO;HSO;REF;;;FACE;CABECA E PESCOCO;PROCEDIMENTOS CIRURGICOS E INVASIVOS
HEMIATROFIA FACIAL, CORRECAO COM ENXERTO DE GORDURA OU IMPLANTE;;;;;HCO;HSO;REF;;;FACE;CABECA E PESCOCO;PROCEDIMENTOS CIRURGICOS E INVASIVOS
REANIMACAO COM O MUSCULO TEMPORAL PARA O TRATAMENTO DA PARALISIA FACIAL, COM OU SEM NEUROTIZACAO;;;;;HCO;HSO;REF;;;FACE;CABECA E PESCOCO;PROCEDIMENTOS CIRURGICOS E INVASIVOS
RECONSTRUCAO COM RETALHO AXIAL DA ARTERIA TEMPORAL SUPERFICIAL;;;;;HCO;HSO;REF;;;FACE;CABECA E PESCOCO;PROCEDIMENTOS CIRURGICOS E INVASIVOS
RECONSTRUCAO COM RETALHOS AXIAIS SUPRA-ORBITAIS E SUPRATROCLEARES;;;;;HCO;HSO;REF;;;FACE;CABECA E PESCOCO;PROCEDIMENTOS CIRURGICOS E INVASIVOS
RECONSTRUCAO COM RETALHOS EM VY DE PEDICULO SUBARTERIAL;;;;;HCO;HSO;REF;;;FACE;CABECA E PESCOCO;PROCEDIMENTOS CIRURGICOS E INVASIVOS
RECONSTRUCAO COM ROTACAO DO MUSCULO TEMPORAL;;;;;HCO;HSO;REF;;;FACE;CABECA E PESCOCO;PROCEDIMENTOS CIRURGICOS E INVASIVOS
BIOPSIA DE MANDIBULAMAXILA COM DIRETRIZ DE UTILIZACAO;;;OD;AMB;HCO;HSO;REF;;85;MANDIBULA E MAXILA;CABECA E PESCOCO;PROCEDIMENTOS CIRURGICOS E INVASIVOS
TRATAMENTO CIRURGICO DE TUMORES BENIGNOS ODONTOGENICOS SEM RECONSTRUCAO COM DIRETRIZ DE UTILIZACAO;;;OD;AMB;HCO;HSO;REF;;87;MANDIBULA E MAXILA;CABECA E PESCOCO;PROCEDIMENTOS CIRURGICOS E INVASIVOS
REMOCAO DE ODONTOMA;;;OD;AMB;HCO;HSO;REF;;;MANDIBULA E MAXILA;CABECA E PESCOCO;PROCEDIMENTOS CIRURGICOS E INVASIVOS
TRATAMENTO CIRURGICO DE HIPERPLASIAS DE TECIDOS OSSEOSCARTILAGINOSOS NA REGIAO BUCO- MAXILO-FACIAL COM DIRETRIZ DE UTILIZACAO;;;OD;AMB;HCO;HSO;REF;;88;MANDIBULA E MAXILA;CABECA E PESCOCO;PROCEDIMENTOS CIRURGICOS E INVASIVOS
TRATAMENTO CIRURGICO DE TUMORES BENIGNOS DE TECIDOS OSSEOSCARTILAGINOSOS NA REGIAO BUCO-MAXILO-FACIAL COM DIRETRIZ DE UTILIZACAO;;;OD;AMB;HCO;HSO;REF;;88;MANDIBULA E MAXILA;CABECA E PESCOCO;PROCEDIMENTOS CIRURGICOS E INVASIVOS
EXERESE DE PEQUENOS CISTOS DE MANDIBULAMAXILA COM DIRETRIZ DE UTILIZACAO;;;OD;AMB;HCO;HSO;REF;;91;MANDIBULA E MAXILA;CABECA E PESCOCO;PROCEDIMENTOS CIRURGICOS E INVASIVOS
HEMIMANDIBULECTOMIA OU RESSECCAO SECCIONAL DA MANDIBULA;;;;;HCO;HSO;REF;;;MANDIBULA E MAXILA;CABECA E PESCOCO;PROCEDIMENTOS CIRURGICOS E INVASIVOS
MANDIBULECTOMIA COM OU SEM ESVAZIAMENTO GANGLIONAR CERVICAL COM OU SEM ENXERTO OSSEO;;;;;HCO;HSO;REF;;;MANDIBULA E MAXILA;CABECA E PESCOCO;PROCEDIMENTOS CIRURGICOS E INVASIVOS
MANDIBULECTOMIA COM OU SEM ESVAZIAMENTO ORBITAL E RINOTOMIA LATERAL;;;;;HCO;HSO;REF;;;MANDIBULA E MAXILA;CABECA E PESCOCO;PROCEDIMENTOS CIRURGICOS E INVASIVOS
MANDIBULECTOMIA COM RECONSTRUCAO A CUSTA DE OSTEOMIOCUTANEO;;;;;HCO;HSO;REF;;;MANDIBULA E MAXILA;CABECA E PESCOCO;PROCEDIMENTOS CIRURGICOS E INVASIVOS
MANDIBULECTOMIA COM RECONSTRUCAO MICROCIRURGICA;;;;;HCO;HSO;REF;;;MANDIBULA E MAXILA;CABECA E PESCOCO;PROCEDIMENTOS CIRURGICOS E INVASIVOS
OPERACAO PULL THROUGH PARA TUMORES DA BOCA COM ESVAZIAMENTO;;;;;HCO;HSO;REF;;;MANDIBULA E MAXILA;CABECA E PESCOCO;PROCEDIMENTOS CIRURGICOS E INVASIVOS
RESSECCAO DE TUMOR DE MANDIBULA COM DESARTICULACAO DE ATM;;;;;HCO;HSO;REF;;;MANDIBULA E MAXILA;CABECA E PESCOCO;PROCEDIMENTOS CIRURGICOS E INVASIVOS
RESSECCAO PARCIAL DA MANDIBULA SEGMENTAR OU SECCIONAL;;;;;HCO;HSO;REF;;;MANDIBULA E MAXILA;CABECA E PESCOCO;PROCEDIMENTOS CIRURGICOS E INVASIVOS
CERVICOTOMIA EXPLORADORA;;;;;HCO;HSO;REF;;;PESCOCO;CABECA E PESCOCO;PROCEDIMENTOS CIRURGICOS E INVASIVOS
DRENAGEM DE ABSCESSO CERVICAL PROFUNDO;;;;;HCO;HSO;REF;;;PESCOCO;CABECA E PESCOCO;PROCEDIMENTOS CIRURGICOS E INVASIVOS
ESCALENOTOMIA;;;;;HCO;HSO;REF;;;PESCOCO;CABECA E PESCOCO;PROCEDIMENTOS CIRURGICOS E INVASIVOS
ESVAZIAMENTO CERVICAL;;;;;HCO;HSO;REF;;;PESCOCO;CABECA E PESCOCO;PROCEDIMENTOS CIRURGICOS E INVASIVOS
EXERESE DE TUMOR, CISTO OU FISTULA CERVICAL;;;;;HCO;HSO;REF;;;PESCOCO;CABECA E PESCOCO;PROCEDIMENTOS CIRURGICOS E INVASIVOS
LINFADENECTOMIA PROFUNDA;;;;;HCO;HSO;REF;;;PESCOCO;CABECA E PESCOCO;PROCEDIMENTOS CIRURGICOS E INVASIVOS
LINFADENECTOMIA SUPERFICIAL;;;;AMB;HCO;HSO;REF;;;PESCOCO;CABECA E PESCOCO;PROCEDIMENTOS CIRURGICOS E INVASIVOS
NEUROBLASTOMA CERVICAL - EXERESE;;;;;HCO;HSO;REF;;;PESCOCO;CABECA E PESCOCO;PROCEDIMENTOS CIRURGICOS E INVASIVOS
OPERACAO COMPOSTA COM ESVAZIAMENTO CERVICAL COM OU SEM RECONSTRUCAO A CUSTA DE RETALHOS DE PELE;;;;;HCO;HSO;REF;;;PESCOCO;CABECA E PESCOCO;PROCEDIMENTOS CIRURGICOS E INVASIVOS
PUNCAO-BIOPSIA DE PESCOCO;;;;AMB;HCO;HSO;REF;;;PESCOCO;CABECA E PESCOCO;PROCEDIMENTOS CIRURGICOS E INVASIVOS
RECONSTRUCAO DE ESOFAGO CERVICAL;;;;;HCO;HSO;REF;;;PESCOCO;CABECA E PESCOCO;PROCEDIMENTOS CIRURGICOS E INVASIVOS
RESSECCAO DE TUMOR DE CORPO CAROTIDEO;;;;;HCO;HSO;REF;;;PESCOCO;CABECA E PESCOCO;PROCEDIMENTOS CIRURGICOS E INVASIVOS
RETRACAO CICATRICIAL CERVICAL COM OU SEM EMPREGO DE EXPANSORES DE TECIDO;;;;;HCO;HSO;REF;;;PESCOCO;CABECA E PESCOCO;PROCEDIMENTOS CIRURGICOS E INVASIVOS
TORCICOLO CONGENITO - TRATAMENTO CIRURGICO;;;;;HCO;HSO;REF;;;PESCOCO;CABECA E PESCOCO;PROCEDIMENTOS CIRURGICOS E INVASIVOS
TRATAMENTO CIRURGICO DA LIPOMATOSE CERVICAL;;;;;HCO;HSO;REF;;;PESCOCO;CABECA E PESCOCO;PROCEDIMENTOS CIRURGICOS E INVASIVOS
TRATAMENTO CIRURGICO DE FISTULA COM RETALHO CUTANEO;;;;;HCO;HSO;REF;;;PESCOCO;CABECA E PESCOCO;PROCEDIMENTOS CIRURGICOS E INVASIVOS
BIOPSIA DE TIREOIDE;;;;AMB;HCO;HSO;REF;;;TIREOIDE;CABECA E PESCOCO;PROCEDIMENTOS CIRURGICOS E INVASIVOS
BOCIO MERGULHANTE EXTIRPACAO;;;;;HCO;HSO;REF;;;TIREOIDE;CABECA E PESCOCO;PROCEDIMENTOS CIRURGICOS E INVASIVOS
ISTMECTOMIA OU NODULECTOMIA;;;;;HCO;HSO;REF;;;TIREOIDE;CABECA E PESCOCO;PROCEDIMENTOS CIRURGICOS E INVASIVOS
TIREOIDECTOMIA PARCIAL OU TOTAL COM OU SEM ESVAZIAMENTO GANGLIONAR;;;;;HCO;HSO;REF;;;TIREOIDE;CABECA E PESCOCO;PROCEDIMENTOS CIRURGICOS E INVASIVOS
BIOPSIA DE PARATIREOIDE;;;;AMB;HCO;HSO;REF;;;PARATIREOIDE;CABECA E PESCOCO;PROCEDIMENTOS CIRURGICOS E INVASIVOS
PARATIREOIDECTOMIA COM ESVAZIAMENTO CERVICAL;;;;;HCO;HSO;REF;;;PARATIREOIDE;CABECA E PESCOCO;PROCEDIMENTOS CIRURGICOS E INVASIVOS
PARATIREOIDECTOMIA COM TORACOTOMIA;;;;;HCO;HSO;REF;;;PARATIREOIDE;CABECA E PESCOCO;PROCEDIMENTOS CIRURGICOS E INVASIVOS
PARATIREOIDECTOMIA SUBTOTAL;;;;;HCO;HSO;REF;;;PARATIREOIDE;CABECA E PESCOCO;PROCEDIMENTOS CIRURGICOS E INVASIVOS
PARATIREOIDECTOMIA TOTAL COM IMPLANTE DE PARATIREOIDES;;;;;HCO;HSO;REF;;;PARATIREOIDE;CABECA E PESCOCO;PROCEDIMENTOS CIRURGICOS E INVASIVOS
REIMPLANTE DE PARATIREOIDE PREVIAMENTE PRESERVADA;;;;;HCO;HSO;REF;;;PARATIREOIDE;CABECA E PESCOCO;PROCEDIMENTOS CIRURGICOS E INVASIVOS
TRATAMENTO CIRURGICO DO HIPERPARATIREOIDISMO;;;;;HCO;HSO;REF;;;PARATIREOIDE;CABECA E PESCOCO;PROCEDIMENTOS CIRURGICOS E INVASIVOS
CRANIOPLASTIA;;;;;HCO;HSO;REF;;;CRANIO;CABECA E PESCOCO;PROCEDIMENTOS CIRURGICOS E INVASIVOS
CRANIOTOMIA OU CRANIECTOMIA DESCOMPRESSIVA;;;;;HCO;HSO;REF;;;CRANIO;CABECA E PESCOCO;PROCEDIMENTOS CIRURGICOS E INVASIVOS
CRANIOTOMIA PARA TUMORES OSSEOS;;;;;HCO;HSO;REF;;;CRANIO;CABECA E PESCOCO;PROCEDIMENTOS CIRURGICOS E INVASIVOS
RECONSTRUCAO CRANIANA OU CRANIOFACIAL;;;;;HCO;HSO;REF;;;CRANIO;CABECA E PESCOCO;PROCEDIMENTOS CIRURGICOS E INVASIVOS
RETIRADA DE CRANIOPLASTIA;;;;;HCO;HSO;REF;;;CRANIO;CABECA E PESCOCO;PROCEDIMENTOS CIRURGICOS E INVASIVOS
TRATAMENTO CIRURGICO DA CRANIOSSINOSTOSE;;;;;HCO;HSO;REF;;;CRANIO;CABECA E PESCOCO;PROCEDIMENTOS CIRURGICOS E INVASIVOS
TRATAMENTO CIRURGICO DA FRATURA DO CRANIO - AFUNDAMENTO;;;;;HCO;HSO;REF;;;CRANIO;CABECA E PESCOCO;PROCEDIMENTOS CIRURGICOS E INVASIVOS
TRATAMENTO CIRURGICO DA OSTEOMIELITE DE CRANIO;;;;;HCO;HSO;REF;;;CRANIO;CABECA E PESCOCO;PROCEDIMENTOS CIRURGICOS E INVASIVOS
ABSCESSO DE PALPEBRA - DRENAGEM;;;;AMB;;;REF;;;PALPEBRA;OLHOS;PROCEDIMENTOS CIRURGICOS E INVASIVOS
BIOPSIA DE PALPEBRA;;;;AMB;;;REF;;;PALPEBRA;OLHOS;PROCEDIMENTOS CIRURGICOS E INVASIVOS
BLEFARORRAFIA;;;;AMB;;;REF;;;PALPEBRA;OLHOS;PROCEDIMENTOS CIRURGICOS E INVASIVOS
CALAZIO - TRATAMENTO CIRURGICO;;;;AMB;;;REF;;;PALPEBRA;OLHOS;PROCEDIMENTOS CIRURGICOS E INVASIVOS
CANTOPLASTIA;;;;AMB;HCO;HSO;REF;;;PALPEBRA;OLHOS;PROCEDIMENTOS CIRURGICOS E INVASIVOS
COLOBOMA - CORRECAO CIRURGICA COM DIRETRIZ DE UTILIZACAO;;;;AMB;HCO;HSO;REF;;15;PALPEBRA;OLHOS;PROCEDIMENTOS CIRURGICOS E INVASIVOS
CORRECAO CIRURGICA DE ECTROPIO OU ENTROPIO;;;;AMB;HCO;HSO;REF;;;PALPEBRA;OLHOS;PROCEDIMENTOS CIRURGICOS E INVASIVOS
EPICANTO - CORRECAO CIRURGICA;;;;AMB;HCO;HSO;REF;;;PALPEBRA;OLHOS;PROCEDIMENTOS CIRURGICOS E INVASIVOS
EPILACAO DE CILIOS POR ELETROLISE;;;;AMB;HCO;HSO;REF;;;PALPEBRA;OLHOS;PROCEDIMENTOS CIRURGICOS E INVASIVOS
FISSURA PALPEBRAL - CORRECAO CIRURGICA;;;;AMB;HCO;HSO;REF;;;PALPEBRA;OLHOS;PROCEDIMENTOS CIRURGICOS E INVASIVOS
LAGOFTALMO - CORRECAO CIRURGICA;;;;AMB;HCO;HSO;REF;;;PALPEBRA;OLHOS;PROCEDIMENTOS CIRURGICOS E INVASIVOS
PALPEBRA - RECONSTRUCAO PARCIAL COM OU SEM RESSECCAO DE TUMOR;;;;;HCO;HSO;REF;;;PALPEBRA;OLHOS;PROCEDIMENTOS CIRURGICOS E INVASIVOS
PALPEBRA - RECONSTRUCAO TOTAL COM OU SEM RESSECCAO DE TUMOR;;;;;HCO;HSO;REF;;;PALPEBRA;OLHOS;PROCEDIMENTOS CIRURGICOS E INVASIVOS
PTOSE PALPEBRAL - CORRECAO CIRURGICA;;;;;HCO;HSO;REF;;;PALPEBRA;OLHOS;PROCEDIMENTOS CIRURGICOS E INVASIVOS
RESSECCAO DE TUMORES PALPEBRAIS;;;;AMB;HCO;HSO;REF;;;PALPEBRA;OLHOS;PROCEDIMENTOS CIRURGICOS E INVASIVOS
RETRACAO PALPEBRAL - CORRECAO CIRURGICA;;;;AMB;HCO;HSO;REF;;;PALPEBRA;OLHOS;PROCEDIMENTOS CIRURGICOS E INVASIVOS
SIMBLEFARO COM OU SEM ENXERTO - CORRECAO CIRURGICA;;;;;HCO;HSO;REF;;;PALPEBRA;OLHOS;PROCEDIMENTOS CIRURGICOS E INVASIVOS
SUPERCILIO - RECONSTRUCAO;;;;;HCO;HSO;REF;;;PALPEBRA;OLHOS;PROCEDIMENTOS CIRURGICOS E INVASIVOS
SUTURA DE PALPEBRA;;;;AMB;HCO;HSO;REF;;;PALPEBRA;OLHOS;PROCEDIMENTOS CIRURGICOS E INVASIVOS
TARSORRAFIA;;;;AMB;HCO;HSO;REF;;;PALPEBRA;OLHOS;PROCEDIMENTOS CIRURGICOS E INVASIVOS
TELECANTO - CORRECAO CIRURGICA;;;;AMB;HCO;HSO;REF;;;PALPEBRA;OLHOS;PROCEDIMENTOS CIRURGICOS E INVASIVOS
TRIQUIASE COM OU SEM ENXERTO;;;;AMB;HCO;HSO;REF;;;PALPEBRA;OLHOS;PROCEDIMENTOS CIRURGICOS E INVASIVOS
CORRECAO DA ENOFTALMIA;;;;;HCO;HSO;REF;;;CAVIDADE ORBITARIA;OLHOS;PROCEDIMENTOS CIRURGICOS E INVASIVOS
DESCOMPRESSAO DE ORBITA OU NERVO OTICO;;;;;HCO;HSO;REF;;;CAVIDADE ORBITARIA;OLHOS;PROCEDIMENTOS CIRURGICOS E INVASIVOS
EXENTERACAO DE ORBITA COM OU SEM OSTEOTOMIA;;;;;HCO;HSO;REF;;;CAVIDADE ORBITARIA;OLHOS;PROCEDIMENTOS CIRURGICOS E INVASIVOS
EXERESE DE TUMOR COM ABORDAGEM CRANIOFACIAL ONCOLOGICA TEMPO FACIAL PALPEBRA, CAVIDADE ORBITARIA E OLHOS;;;;;HCO;HSO;REF;;;CAVIDADE ORBITARIA;OLHOS;PROCEDIMENTOS CIRURGICOS E INVASIVOS
EXERESE OU RESSECCAO DE TUMOR DE ORBITA;;;;;HCO;HSO;REF;;;CAVIDADE ORBITARIA;OLHOS;PROCEDIMENTOS CIRURGICOS E INVASIVOS
FRATURA DE ORBITA - REDUCAO CIRURGICA COM OU SEM ENXERTO OSSEO;;;;;HCO;HSO;REF;;;CAVIDADE ORBITARIA;OLHOS;PROCEDIMENTOS CIRURGICOS E INVASIVOS
IMPLANTE SECUNDARIO DE ORBITA;;;;;HCO;HSO;REF;;;CAVIDADE ORBITARIA;OLHOS;PROCEDIMENTOS CIRURGICOS E INVASIVOS
MICROCIRURGIA PARA TUMORES ORBITARIOS;;;;;HCO;HSO;REF;;;CAVIDADE ORBITARIA;OLHOS;PROCEDIMENTOS CIRURGICOS E INVASIVOS
RECONSTITUICAO DE PAREDES ORBITARIAS;;;;;HCO;HSO;REF;;;CAVIDADE ORBITARIA;OLHOS;PROCEDIMENTOS CIRURGICOS E INVASIVOS
RECONSTRUCAO DA CAVIDADE ORBITAL;;;;;HCO;HSO;REF;;;CAVIDADE ORBITARIA;OLHOS;PROCEDIMENTOS CIRURGICOS E INVASIVOS
RESSECCAO DE TUMORES DA CAVIDADE ORBITARIA;;;;;HCO;HSO;REF;;;CAVIDADE ORBITARIA;OLHOS;PROCEDIMENTOS CIRURGICOS E INVASIVOS
AUTOTRANSPLANTE CONJUNTIVAL;;;;;HCO;HSO;REF;;;CONJUNTIVA;OLHOS;PROCEDIMENTOS CIRURGICOS E INVASIVOS
BIOPSIA DE CONJUNTIVA;;;;AMB;HCO;HSO;REF;;;CONJUNTIVA;OLHOS;PROCEDIMENTOS CIRURGICOS E INVASIVOS
EXERESE DE PTERIGIO;;;;AMB;HCO;HSO;REF;;;CONJUNTIVA;OLHOS;PROCEDIMENTOS CIRURGICOS E INVASIVOS
EXERESE DE TUMOR DE CONJUNTIVA;;;;;HCO;HSO;REF;;;CONJUNTIVA;OLHOS;PROCEDIMENTOS CIRURGICOS E INVASIVOS
INFILTRACAO SUBCONJUNTIVAL;;;;AMB;HCO;HSO;REF;;;CONJUNTIVA;OLHOS;PROCEDIMENTOS CIRURGICOS E INVASIVOS
PLASTICA DE CONJUNTIVA PARA PTERIGIO, TUMORES OU TRAUMAS;;;;AMB;HCO;HSO;REF;;;CONJUNTIVA;OLHOS;PROCEDIMENTOS CIRURGICOS E INVASIVOS
RECONSTITUICAO DE FUNDO DE SACO;;;;;HCO;HSO;REF;;;CONJUNTIVA;OLHOS;PROCEDIMENTOS CIRURGICOS E INVASIVOS
SUTURA DE CONJUNTIVA;;;;AMB;HCO;HSO;REF;;;CONJUNTIVA;OLHOS;PROCEDIMENTOS CIRURGICOS E INVASIVOS
CAUTERIZACAO DE CORNEA;;;;AMB;HCO;HSO;REF;;;CORNEA;OLHOS;PROCEDIMENTOS CIRURGICOS E INVASIVOS
CERATECTOMIA FOTOTERAPEUTICA PTK;;;;AMB;HCO;HSO;REF;PAC;;CORNEA;OLHOS;PROCEDIMENTOS CIRURGICOS E INVASIVOS
CERATECTOMIA SUPERFICIAL;;;;;HCO;HSO;REF;;;CORNEA;OLHOS;PROCEDIMENTOS CIRURGICOS E INVASIVOS
CIRURGIA REFRATIVA - PRK OU LASIK COM DIRETRIZ DE UTILIZACAO;;;;AMB;HCO;HSO;REF;;13;CORNEA;OLHOS;PROCEDIMENTOS CIRURGICOS E INVASIVOS
RADIACAO PARA CROSS LINKING CORNEANO COM DIRETRIZ DE UTILIZACAO;;;;AMB;HCO;HSO;REF;;121;CORNEA;OLHOS;PROCEDIMENTOS CIRURGICOS E INVASIVOS
IMPLANTE DE ANEL INTRAESTROMAL COM DIRETRIZ DE UTILIZACAO;;;;AMB;HCO;HSO;REF;;34;CORNEA;OLHOS;PROCEDIMENTOS CIRURGICOS E INVASIVOS
RECOBRIMENTO CONJUNTIVAL;;;;AMB;HCO;HSO;REF;;;CORNEA;OLHOS;PROCEDIMENTOS CIRURGICOS E INVASIVOS
RETIRADA DE CORPO ESTRANHO DA CORNEA;;;;AMB;HCO;HSO;REF;;;CORNEA;OLHOS;PROCEDIMENTOS CIRURGICOS E INVASIVOS
SUTURA DE CORNEA COM OU SEM HERNIA DE IRIS;;;;;HCO;HSO;REF;;;CORNEA;OLHOS;PROCEDIMENTOS CIRURGICOS E INVASIVOS
TARSOCONJUNTIVOCERATOPLASTIA;;;;;HCO;HSO;REF;;;CORNEA;OLHOS;PROCEDIMENTOS CIRURGICOS E INVASIVOS
PARACENTESE DA CAMARA ANTERIOR;;;;AMB;HCO;HSO;REF;;;CAMARA ANTERIOR;OLHOS;PROCEDIMENTOS CIRURGICOS E INVASIVOS
RECONSTRUCAO DA CAMARA ANTERIOR;;;;;HCO;HSO;REF;;;CAMARA ANTERIOR;OLHOS;PROCEDIMENTOS CIRURGICOS E INVASIVOS
REMOCAO DE HIFEMA;;;;;HCO;HSO;REF;;;CAMARA ANTERIOR;OLHOS;PROCEDIMENTOS CIRURGICOS E INVASIVOS
RETIRADA DE CORPO ESTRANHO DA CAMARA ANTERIOR;;;;;HCO;HSO;REF;;;CAMARA ANTERIOR;OLHOS;PROCEDIMENTOS CIRURGICOS E INVASIVOS
CAPSULOTOMIA YAG OU CIRURGICA;;;;AMB;HCO;HSO;REF;;;CRISTALINO;OLHOS;PROCEDIMENTOS CIRURGICOS E INVASIVOS
FACECTOMIA COM LENTE INTRA-OCULAR COM OU SEM FACOEMULSIFICACAO;;;;AMB;HCO;HSO;REF;;;CRISTALINO;OLHOS;PROCEDIMENTOS CIRURGICOS E INVASIVOS
FACECTOMIA SEM IMPLANTE;;;;AMB;HCO;HSO;REF;;;CRISTALINO;OLHOS;PROCEDIMENTOS CIRURGICOS E INVASIVOS
IMPLANTE SECUNDARIO EXPLANTE DE LENTE INTRA-OCULAR;;;;AMB;HCO;HSO;REF;;;CRISTALINO;OLHOS;PROCEDIMENTOS CIRURGICOS E INVASIVOS
REMOCAO DE PIGMENTOS DA LENTE INTRA-OCULAR COM YAG LASER, APOS CIRURGIA DE CATARATA;;;;AMB;HCO;HSO;REF;;;CRISTALINO;OLHOS;PROCEDIMENTOS CIRURGICOS E INVASIVOS
BIOPSIA DE TUMOR VIA PARS PLANA;;;;;HCO;HSO;REF;;;CORPO VITREO;OLHOS;PROCEDIMENTOS CIRURGICOS E INVASIVOS
